	RES_GDP_LR	RES_GDP_SR	RES_IN_LR	RES_IN_SR
2003M01				
2003M02				
2003M03				
2003M04	0.3658597539559068	0.4118372637467378	-0.2713315421209217	-0.1945873415576073
2003M05	-0.03421087332475715	-0.03831654849360795	0.02438124046504183	0.01722413573187604
2003M06	0.7255269117116431	0.7756128280416755	-0.3278432260247042	-0.1797087126618202
2003M07	-0.909080796036623	-0.5745216507306488	-1.621946653287827	-1.768350562700782
2003M08	-0.2938560667479734	0.2594034780597099	-2.801562709117648	-2.804962537476785
2003M09	0.2043569519986338	0.07659826115715883	0.6334668670197716	0.661191909982224
2003M10	0.7479481348751176	0.4421792638374521	1.490551977636032	1.607995369732462
2003M11	-4.620300513554572	-4.581312006185156	0.2564663529138926	-0.651561298788086
2003M12	-1.26228947790321	-1.631858222339057	2.015334916232269	1.729736480708382
2004M01	1.991890006780882	1.798815246850032	0.7912377147179903	1.165309670297779
2004M02	1.512948216356121	1.661203935704091	-0.9077988262267997	-0.5945691701639011
2004M03	1.127176341835388	1.313470031938961	-1.064338434318018	-0.8234921271450515
2004M04	0.4803768206746493	0.5477959512318606	-0.3923308680226334	-0.2908693790046704
2004M05	-0.2743882078984623	-0.2570940086852185	-0.06140277800688351	-0.1138501667673152
2004M06	-0.6415003230737033	-0.6825898510170757	0.2735244627775321	0.142861441612201
2004M07	-0.157729185636607	-0.2027075991488141	0.2456814041753663	0.2101130115078618
2004M08	0.5342946764871086	0.1591895180883134	1.866370689798078	1.934804654316472
2004M09	0.4622799117203889	0.6939447167132906	-1.230851143118401	-1.1167533225519
2004M10	0.01293436222020791	-0.2625409959840428	1.408097872097914	1.383466349631258
2004M11	-1.050133972329662	-0.8924075327290658	-0.7033240453988194	-0.8950166859426569
2004M12	0.4462358166837451	0.5070396243828172	-0.3551167792346629	-0.2610462607988167
2005M01	0.2985527413771847	0.2986559867100865	-0.02998981004896985	0.02894356035515401
2005M02	1.464722293453262	1.58756210373488	-0.7730081311727686	-0.4718045510870561
2005M03	-2.177109434050628	-2.267332771060951	0.6764365763062087	0.2378529682726667
2005M04	0.8724161971538687	0.9190784952015985	-0.3248227036475584	-0.148035568235469
2005M05	0.9453943078432211	0.9011402805713373	0.1331176044023722	0.315336151695809
2005M06	-0.0568493864431617	0.04004681432865174	-0.4901258739953635	-0.4917839746886595
2005M07	0.1799985888676361	0.2012654045390462	-0.1265668019545877	-0.08894315198354101
2005M08	-0.5457456100417759	-0.5956758158198763	0.3093055232591116	0.1966685028776541
2005M09	0.2804233503908212	0.2928264879795437	-0.09112891541544602	-0.03455984086927083
2005M10	0.3698404408349933	0.3675800229083199	-0.02493171295083664	0.04783794243004176
2005M11	1.717087777550629	1.838901198326584	-0.7926607344045302	-0.4417509006858379
2005M12	-0.4805295006100012	-0.8388121326436999	1.880448292251219	1.75025386356051
2006M01	0.990159586609064	0.9060600438253856	0.3325558843760416	0.5196774192635258
2006M02	0.3254230942027496	0.1995193379149615	0.6120297651070628	0.6638317990321372
2006M03	1.373154297773558	1.413013698356233	-0.3394315527536643	-0.06448870144946927
2006M04	-0.6069827005525643	-0.7118222829228198	0.5962732888569374	0.4661318174973783
2006M05	-0.5177843459853324	-0.6110769729326583	0.528395075916014	0.4169975039886338
2006M06	-0.06797122155397545	0.1457873339676175	-1.08691411608331	-1.079235116161202
2006M07	-0.6182100436799159	-0.5737212623595397	-0.1666056309000667	-0.284227035027957
2006M08	1.028193404636932	1.090186169096516	-0.4186280319186482	-0.2095834513492024
2006M09	-0.5274735924116349	-0.5638597331202875	0.2382088980707676	0.1305146396262237
2006M10	0.3284275595787082	0.3821980682329711	-0.3075078615951571	-0.2373823571058549
2006M11	-0.1428823114276329	-0.1882963591818829	0.2464450661178795	0.2137639039929978
2006M12	0.4634649747930357	0.5075905347557953	-0.2714884983973656	-0.1756634185956499
2007M01	1.173913910004529	1.23408500311587	-0.4236879793465156	-0.186063368041496
2007M02	0.4188804927294559	0.4880448921792367	-0.3951913904120916	-0.3056947586247966
2007M03	1.354169267766567	1.474660863696319	-0.7500847826861621	-0.4709319737814858
2007M04	-0.9040531266884365	-0.929092624074898	0.217319108941067	0.03642179037623314
2007M05	2.162153237881049	2.307042900309452	-0.9546419974750042	-0.5136156376219806
2007M06	-0.2426336605278547	-0.2675039550525063	0.1511836675164619	0.1008425930442521
2007M07	0.4528432715885074	0.198585645581335	1.256133884386037	1.320417776870778
2007M08	-0.4446188051964104	-0.3222795614494338	-0.58203077627654	-0.6577093512506624
2007M09	0.3096347439844963	0.03411414496740723	1.379050533350787	1.412972141735943
2007M10	0.2741269498379946	0.4798816060490478	-1.079723651003996	-1.005317060104924
2007M11	0.9809441863874815	1.130232699642022	-0.8605838763976041	-0.6522500668573209
2007M12	0.8995496203071367	0.9915566475410741	-0.5594908674095963	-0.3728739261038579
2008M01	0.9169824452754582	0.642693020723799	1.312817757444301	1.466728655970708
2008M02	1.117373769676481	1.406898186691506	-1.591515360885873	-1.342416767363837
2008M03	-0.6948597025652409	-0.6137413956207491	-0.3464440185029258	-0.4755785565689858
2008M04	2.954684393197362	2.769778583610264	0.6544342486921458	1.219332049260525
2008M05	-1.315027367981726	-1.174593788486406	-0.5887110754843796	-0.8343902808936464
2008M06	0.9562622112397205	0.8022264980501148	0.6937051153025464	0.8672351753668594
2008M07	-0.1545272333254101	-0.4204437882472858	1.375718904315132	1.31897998106675
2008M08	-0.5156923037979154	-0.5948877417122398	0.4560652455655659	0.3464716945885588
